"Granteeid","Vendorcode","Grantee","Abbrev","Region","State","Manager","Rep","Contact","Phone","Fax","Email","Comment","Transfer","Transtime","Transno","Updtdate","Updtflag","Addstamp","Newstart"
"0","1372","CAPE ANN TRANSPORTATION AUTHORITY                                     ","CATA                ","01","MA","                                        ","                                        ","                                        ","5082831886       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVIO204 Pushout              ","false"
"0","1353","CAPE COD COMMISSION                                                   ","CAPE CODE COM.      ","01","MA","                                        ","                                        ","                                        ","5083623828       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVUZ204 Pushout              ","false"
"0","1368","CAPE COD REGIONAL TRANSIT AUTHORITY                                   ","CCRTA               ","01","MA","                                        ","                                        ","                                        ","5083858311       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVZK204 Pushout              ","false"
"0","1330","CAPITOL REGION COUNCIL OF GOVERNMENTS                                 ","CRCOG               ","01","CT","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVV6204 Pushout              ","false"
"0","1883","CASCO BAY ISLAND TRANSIT DISTRICT                                     ","CBITD               ","01","ME","                                        ","                                        ","                                        ","2077747871       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVYE204 Pushout              ","false"
"0","1329","CENTRAL CONNECTICUT REGIONAL PLANNING AGENCY                          ","CCRPA               ","01","CT","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVJ3204 Pushout              ","false"
"0","1364","CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION                    ","CMRPC               ","01","MA","                                        ","                                        ","                                        ","5087567717       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVO0204 Pushout              ","false"
"0","1351","CENTRAL TRANSPORTATION PLANNING STAFF                                 ","CTPS                ","01","MA","                                        ","                                        ","                                        ","6179737100       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVID204 Pushout              ","false"
"0","3064","CENTRAL VERMONT TRANSPORTATION ASSOCIATION                            ","CENTRAL VERMONT TRA ","01","VT","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVW4204 Pushout              ","false"
"0","1394","CHITTENDEN COUNTY TRANSPORTATION AUTHORITY                            ","CCTA                ","01","VT","                                        ","                                        ","                                        ","                 ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1999-09-18","false","07/25/1999X5T22TEAHANK # teahank        ","false"
"0","1334","CONNECTICUT DEPARTMENT OF TRANSPORTATION                              ","CONNDOT             ","01","CT","                                        ","                                        ","                                        ","2035942178       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVX2204 Pushout              ","false"
"0","2033","CONNECTICUT, STATE OF, WINDHAM REGION TRANSIT DISTRICT                ","WINDHAM RTD         ","01","CT","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVPL204 Pushout              ","false"
"0","5156","COOPERATIVE ALLIANCE FOR SEACOAST TRANSPORTATION                      ","COAST               ","01","NH","                                        ","                                        ","                                        ","6038621931       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVZS204 Pushout              ","false"
"0","2013","COUNCIL OF GOVERNMENTS CENTRAL NAUGATUCK VALLEY                       ","CGCNV               ","01","CT","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBW4U204 Pushout              ","false"
"0","2157","CRANSTON, CITY OF                                                     ","CRANSTON CTY        ","01","RI","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVO4204 Pushout              ","false"
"0","2775","DANBURY-BETHEL TRANSIT DISTRICT                                       ","DANBURY-BETHEL      ","01","CT","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVWY204 Pushout              ","false"
"0","2773","EAST LYME, TOWN OF                                                    ","E LYME TWN          ","01","CT","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVW7204 Pushout              ","false"
"0","5115","EASTERN TRANSPORTATION SERVIVES INC                                   ","ETS, INC.           ","01","ME","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVOY204 Pushout              ","false"
"0","5142","EDGARTOWN, CITY OF, MARTHA'S VINEYARD TRANSIT AUTH.                   ","COE MVTA            ","01","MA","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVQ4204 Pushout              ","false"
"0","1349","EXECUTIVE OFFICE OF TRANSPORTATION AND CONSTRUCTION                   ","EOTC                ","01","MA","                                        ","                                        ","                                        ","6179737000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVH8204 Pushout              ","false"
"0","2774","FAIRFIELD PARKING AUTHORITY                                           ","FAIRFIELD COUNTY    ","01","CT","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVPE204 Pushout              ","false"
"0","3239","FEDERAL REGIONAL COUNCIL OF NEW ENGLAND                               ","FED REG COUN ORG    ","01","MA","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVQC204 Pushout              ","false"
"0","5695","FRAMINGHAM, TOWN OF                                                   ","FRAMINGHAM          ","01","MA","                                        ","                                        ","                                        ","5086204852       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVIW204 Pushout              ","false"
"0","1356","FRANKLIN COUNTY DEPARTMENT OF PLANNING                                ","FRANKLIN DPD        ","01","MA","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVUA204 Pushout              ","false"
"0","1373","FRANKLIN REGIONAL TRANSIT AUTHORITY                                   ","FRANKLIN     RTA    ","01","MA","                                        ","                                        ","                                        ","4137742262       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVVA204 Pushout              ","false"
"0","2987","GLOUCESTER, CITY OF                                                   ","GLOUCESTER CTY      ","01","MA","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVJJ204 Pushout              ","false"
"0","1365","GREATER ATTLEBORO-TAUNTON REGIONAL TRANSIT AUTHORITY                  ","GATRA               ","01","MA","                                        ","                                        ","                                        ","5082261102       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVWR204 Pushout              ","false"
"0","1752","GREATER BRIDGEPORT TRANSIT DISTRICT                                   ","GBTD                ","01","CT","                                        ","                                        ","                                        ","2033667070       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBW1R204 Pushout              ","false"
"0","1335","GREATER HARTFORD TRANSIT DISTRICT                                     ","GHTD                ","01","CT","                                        ","                                        ","                                        ","2032475329       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBW2R204 Pushout              ","false"
"0","1337","GREATER NEW HAVEN TRANSIT DISTRICT                                    ","GNHTD               ","01","CT","                                        ","                                        ","                                        ","2032886282       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVXI204 Pushout              ","false"
"0","1345","GREATER PORTLAND COUNCIL OF GOVERNMENTS                               ","GPCOG               ","01","ME","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVZV204 Pushout              ","false"
"0","5371","GREATER WATERBURY TRANSIT DISTRICT                                    ","GWTD                ","01","CT","                                        ","                                        ","                                        ","                 ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1999-07-25","false","07/25/1999VU4OTTEAHANK # teahank        ","false"
"0","1376","GREENFIELD MONTAGUE TRANSPORTATION AUTHORITY                          ","GMTA                ","01","MA","                                        ","                                        ","                                        ","4137745195       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVYP204 Pushout              ","false"
"0","2643","HARTFORD, CITY OF, TRANSIT AUTHORITY                                  ","HARTFORD TRA        ","01","CT","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVJR204 Pushout              ","false"
"0","1754","HOUSATONIC AREA REGIONAL TRANSIT DISTRICT                             ","HART                ","01","CT","                                        ","                                        ","                                        ","                 ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1999-07-25","false","07/25/1999VK3BATEAHANK # teahank        ","false"
"0","2014","HOUSATONIC VALLEY COUNCIL OF ELECTED OFFICIALS                        ","HVCEO               ","01","CT","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVX6204 Pushout              ","false"
"0","3122","LAKES REGION PLANNING COMMISSION                                      ","LAKES RPC           ","01","NH","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBW4Q204 Pushout              ","false"
"0","5192","LAMOILLE COUNTY DEVELOPMENT COUNCIL                                   ","LCDC                ","01","VT","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBW42204 Pushout              ","false"
"0","2422","LAWRENCE, CITY OF                                                     ","LAWRENCE CTY        ","01","MA","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBW2A204 Pushout              ","false"
"0","3011","LEWISTON, CITY OF                                                     ","LEWISTON CTY        ","01","ME","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBW0Z204 Pushout              ","false"
"0","1342","LEWISTON-AUBURN COMPREHENSIVE TRANSPORTATION STUDY (LACTS)            ","LACTS TSO           ","01","ME","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVZ5204 Pushout              ","false"
"0","1375","LOWELL REGIONAL TRANSIT AUTHORITY                                     ","LRTA                ","01","MA","                                        ","                                        ","                                        ","5084590164       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVH4204 Pushout              ","false"
"0","1346","MAINE DEPARTMENT OF TRANSPORTATION                                    ","MAINE DOT           ","01","ME","                                        ","                                        ","                                        ","2072872641       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBW03204 Pushout              ","false"
"0","1387","MANCHESTER TRANSIT AUTHORITY                                          ","MTA                 ","01","NH","                                        ","                                        ","                                        ","                 ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1999-07-23","false","07/23/1999ZUMFILEONARDE # LeonardE      ","false"
"0","2006","MANCHESTER, CITY OF                                                   ","CITY OF MANCHESTER  ","01","NH","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVXE204 Pushout              ","false"
"0","3062","MARBLE VALLEY REGIONAL TRANSIT DISTRICT                               ","MARBLE VALLEY RTA   ","01","VT","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBW0K204 Pushout              ","false"
"0","5466","MARTHA'S VINEYARD TRANSIT AUTHORITY                                   ","MVTA                ","01","MA","                                        ","                                        ","                                        ","5086279663       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVWB204 Pushout              ","false"
"0","1369","MASSACHUSETTS BAY TRANSPORTATION AUTHORITY                            ","MBTA                ","01","MA","                                        ","                                        ","                                        ","6177225000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBW0N204 Pushout              ","false"
"0","1350","MASSACHUSETTS DEPARTMENT OF PUBLIC WORKS                              ","MASS DPW            ","01","MA","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVQ8204 Pushout              ","false"
"0","5754","MASSACHUSETTS PORT AUTHORITY                                          ","MPA                 ","01","MA","COLE, RICHARD                           ","                                        ","                                        ","                 ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1999-07-11","false","07/16/1999LBW55204 Pushout              ","false"
"0","1357","MERRIMACK VALLEY PLANNING COMMISSION                                  ","MVPC                ","01","MA","                                        ","                                        ","                                        ","5083740519       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVZG204 Pushout              ","false"
"0","1374","MERRIMACK VALLEY REGIONAL TRANSIT AUTHORITY                           ","MVRTA               ","01","MA","                                        ","                                        ","                                        ","5083731184       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBW13204 Pushout              ","false"
"0","1352","METROPOLITAN AREA PLANNING COUNCIL                                    ","MAPC                ","01","MA","                                        ","                                        ","                                        ","6174512770       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVOV204 Pushout              ","false"
"0","2777","MIDDLESEX COUNTY INTERAGENCY COUNCIL - WESTBROOK                      ","MIDDLESEX CNT       ","01","CT","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBW46204 Pushout              ","false"
"0","1336","MIDDLETOWN TRANSIT DISTRICT                                           ","MIDDLETOWN TRD      ","01","CT","                                        ","                                        ","                                        ","2033460212       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBW4Y204 Pushout              ","false"
"0","1331","MIDSTATE REGIONAL PLANNING AGENCY                                     ","MRPA                ","01","CT","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVGR204 Pushout              ","false"
"0","1755","MILFORD TRANSIT DISTRICT                                              ","MTD                 ","01","CT","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVZ1204 Pushout              ","false"
"0","1355","MONTACHUSETT REGIONAL PLANNING COMMISSION                             ","MRPC                ","01","MA","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBW3Q204 Pushout              ","false"
"0","1371","MONTACHUSETT REGIONAL TRANSIT AUTHORITY                               ","MRTA                ","01","MA","                                        ","                                        ","                                        ","5083457711       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVJN204 Pushout              ","false"
"0","1384","NASHUA REGIONAL PLANNING COMMISSION                                   ","NRPC                ","01","NH","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVPA204 Pushout              ","false"
